TIMESTAMP,Meteo_Latitude,Meteo_Longitude,Meteo_HASL,Meteo_Rel_WindDir,Meteo_Corr_WindDir,Meteo_Corr_WindS,Meteo_WindDir_True,Meteo_Rel_WS,Meteo_BP,Meteo_RH,Meteo_AirTemp,Meteo_DP,Meteo_AD,Meteo_WBT,SBE37_SBE37Sn,SBE37_SBE37Temp,SBE37_SBE37Cond,SBE37_SBE37Pres,SBE37_SBE37OXY,SBE37_SBE37Sal,Doppler_DoppVolts,Doppler_DoppSoundSpeed,Doppler_DoppHeading,Doppler_DoppPitch,Doppler_DoppRoll,Doppler_DoppPress,Doppler_DoppTemp,Doppler_DoppCell(1),Doppler_DoppCell(2),Doppler_DoppCell(3),Doppler_DoppCell(4),Doppler_DoppCell(5),Doppler_DoppCell(6),Doppler_DoppCell(7),Doppler_DoppCell(8),Doppler_DoppCell(9),Doppler_DoppCell(10),Doppler_DoppCell(11),Doppler_DoppCell(12),Doppler_DoppCell(13),Doppler_DoppCell(14),Doppler_DoppCell(15),Doppler_DoppCell(16),Doppler_DoppCell(17),Doppler_DoppCell(18),Doppler_DoppCell(19),Doppler_DoppCell(20),Doppler_DoppCell(21),Doppler_DoppCell(22),Doppler_DoppCell(23),Doppler_DoppCell(24),Doppler_DoppCell(25),Doppler_DoppCell(26),Doppler_DoppCell(27),Doppler_DoppCell(28),Doppler_DoppCell(29),Doppler_DoppCell(30),Doppler_DoppCell(31),Doppler_DoppCell(32),Doppler_DoppCell(33),Doppler_DoppCell(34),Doppler_DoppCell(35),Doppler_DoppCell(36),Doppler_DoppCell(37),Doppler_DoppCell(38),Doppler_DoppCell(39),Doppler_DoppCell(40),Sami_SamiData,Sami_SamiMessage,Sami_SamiNBlank,System_PanelTemp,System_Datalogg_Batt,System_Batt_Volt,System_Solar_Voltage,System_Current,System_CTD_PwrOff,System_ADP_PwrOff,System_SAMI_PwrOff,System_Meteo_PwrOff
2024-11-29T04:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,18.35,12.44,12.51,1.9,0.099,0,0,0
2024-11-29T03:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,18.40,12.44,12.51,1.8,0.098,0,0,0
2024-11-29T02:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,18.45,12.44,12.51,1.7,0.097,0,0,0
2024-11-29T01:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,18.50,12.44,12.51,1.6,0.096,0,0,0
2024-11-29T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,18.55,12.44,12.51,1.5,0.095,0,0,0
2024-11-21T22:00:00Z,56,41.38533,2.195418,45,99,127,0.97,129,0.97,1001.7,48,19.1,7.9,1.2,56,37-26087,18.3508,3E-05,-0.196,NAN,56, 11 19 2024 20 8 37 0 44 12.1 1520.5 170.1 161.0 -160.5 0.068 18.49 0 0    1   1394 3091    2   1216 2949    3    365 2654    4    905 2652    5   1404 3186    6   1533 2535    7   1304 2773    8   1228 3010    9    607 2710   10   1217 2841   11   1259 2940   12    407 2855   13   1001 2564   14   1501 2790   15   1795 2619   16   1682 3184   17   1341 2630   18   1990 3026   19    817 3018   20    864 2900   21    965 2996   22   1747 2977   23   1127 3333   24    968 2712   25   1224 2307   26   1377 2931   27    961 2542   28   1202 2712   29   1205 2401   30   1413 3249   31    685 3478   32    851 3111   33   1558 3103   34    897 2916   35   1109 2778   36    680 3337   37   1790 2844   38   1247 2712   39   1232 2589   40   1077 2729  ,11,19,2024,20,8,37,12.1,1521,170.1,161,-160.5,0.068,18.49,1394 309,1216 294,365 265,905 265,1404 318,1533 253,1304 277,1228 301,607 271,1217 284,1259 294,407 285,1001 256,1501 279,1795 261,1682 318,1341 263,1990 302,817 301,864 290,965 299,1747 297,1127 333,968 271,1224 230,1377 293,961 254,1202 271,1205 240,1413 324,685 347,851 311,56,:5:70A :17AE70AE3655E531B651AB41377238214921AAF136F237114901AA8136B2367147F1AB4136C2372148D1AB013722370148B1AB00FCD237014721AA407F2236E140E1ABC017A237B128D1AB500EA237011AE1AAC014B236C12321AAC0278236913021ABA0442237513991AB50689237013ED1AAA08CF236F142E1AB50ADE236B144B1AB60CA3236C14701AA40DF9236A14711AB80F1C236E147F1AB01005236B147D1AA810B6236D147D1AB311572370148C1AAE11CF236A14871AB6122D236B14871AAC1279236C14861AB112AC237C14891AA712D8235E14811AB612F92374148B3D433DF91B6CC9  ,:5:70A :17AE70AE3655E531B651AB41377238214921AAF136F237114901AA8136B2367147F1AB4136C2372148D1AB013722370148B1AB00FCD237014721AA407F2236E140E1ABC017A237B128D1AB500EA237011AE1AAC014B236C12321AAC0278236913021ABA0442237513991AB50689237013ED1AAA08CF236F142E1AB50ADE236B144B1AB60CA3236C14701AA40DF9236A14711AB80F1C236E147F1AB01005236B147D1AA810B6236D147D1AB311572370148C1AAE11CF236A14871AB6122D236B14871AAC1279236C14861AB112AC237C14891AA712D8235E14811AB612F92374148B3D433DF91B6CC9  ,56,18.61,12.44,12.51,1.381,0.094,0,0,0
2024-11-21T21:00:00Z,55,41.38539,2.195715,47,95,123,0.93,125,0.93,1001.7,47,19.1,7.7,1.2,55,37-26087,18.3148,3E-05,-0.195,NAN,55, 11 19 2024 19 8 37 0 44 12.1 1520.7 171.7 160.9 -160.5 0.069 18.55 0 0    1    826 2567    2    999 2957    3   1072 2910    4   1608 2797    5    940 2804    6    902 2775    7   1657 2700    8   2018 3007    9   1727 2982   10   1109 2883   11   2020 2986   12   1123 2749   13    940 3041   14    781 3118   15    551 3222   16   1523 2720   17    676 2404   18   1606 2742   19   1568 2912   20   1591 3145   21   1608 2951   22   1681 3089   23   1428 2918   24    782 3009   25   1139 2773   26   1139 2818   27   1255 3242   28   1509 3212   29    622 2905   30    960 3242   31    732 2979   32   1167 2450   33   1107 3336   34   2284 2528   35    670 2723   36   1069 2670   37    653 2966   38    570 2692   39    851 3172   40    271 1976  ,11,19,2024,19,8,37,12.1,1521,171.7,160.9,-160.5,0.069,18.55,826 256,999 295,1072 291,1608 279,940 280,902 277,1657 270,2018 300,1727 298,1109 288,2020 298,1123 274,940 304,781 311,551 322,1523 272,676 240,1606 274,1568 291,1591 314,1608 295,1681 308,1428 291,782 300,1139 277,1139 281,1255 324,1509 321,622 290,960 324,732 297,1167 245,55,:5:70A :17AE70AE36550431B621AB61360237F14811AB313652374147B1AA813682371147C1AAD1361237914751AA41365236C14781AB30FCE237014591AA207A1236713FA1AAA0177236A127C1AB100F1236F11A41AA301512371122D1AB5026E237112E81AAC043D235E13701AAB0686236E13DD1AAE08E6237414191AAF0AC5236B143A1AB60C80236E14541AAB0E01237514631AB30F262368146B1A9E1010236414781AAB10B6237014731AB01153236E14781AA511B82367146C1AB01218237514751AAD126C2373147C1AA6129A235A14701AA712C3236014691AB612EC237614733D423DF91B6A15  ,:5:70A :17AE70AE36550431B621AB61360237F14811AB313652374147B1AA813682371147C1AAD1361237914751AA41365236C14781AB30FCE237014591AA207A1236713FA1AAA0177236A127C1AB100F1236F11A41AA301512371122D1AB5026E237112E81AAC043D235E13701AAB0686236E13DD1AAE08E6237414191AAF0AC5236B143A1AB60C80236E14541AAB0E01237514631AB30F262368146B1A9E1010236414781AAB10B6237014731AB01153236E14781AA511B82367146C1AB01218237514751AAD126C2373147C1AA6129A235A14701AA712C3236014691AB612EC237614733D423DF91B6A15  ,55,18.66,12.45,12.52,1.26,0.091,0,0,0
2024-11-21T20:00:00Z,54,41.38537,2.195681,31,102,130,1.08,132,1.08,1002.1,47,19.3,7.8,1.2,54,37-26087,18.4281,4E-05,-0.192,NAN,54, 11 19 2024 18 8 37 0 44 12.1 1521.1 170.7 161.0 -160.4 0.075 18.71 0 0    1    399 2577    2   1519 2854    3   1322 2610    4   1606 2645    5   1175 3314    6   1130 3247    7   1684 3149    8   1513 3353    9    524 3018   10   1196 3139   11    754 3113   12    587 3328   13   1057 3223   14   1594 3190   15   1113 2571   16   1254 2921   17   1108 2820   18    917 3305   19    767 2630   20    727 2862   21    804 3582   22    720 3060   23   1430 3245   24   1078   87   25    741 2915   26   1189 3255   27    803 2646   28   1356 3230   29   1212 2992   30   1577 2493   31    338   56   32   1245 2805   33   1696 2938   34    786 3220   35    603 3079   36   1502 3107   37    955 3093   38   1309 2927   39   1233 3038   40   2436 2705  ,11,19,2024,18,8,37,12.1,1521,170.7,161,-160.4,0.075,18.71,399 257,1519 285,1322 261,1606 264,1175 331,1130 324,1684 314,1513 335,524 301,1196 313,754 311,587 332,1057 322,1594 319,1113 257,1254 292,1108 282,917 330,767 263,727 286,804 358,720 306,1430 324,1078 8,741 291,1189 325,803 264,1356 323,1212 299,1577 249,338 5,1245 280,54,:5:70A :17AE70AE36542331B4D1AAF135C2371146D1AB6134F237D14671AA91349236E14621AAB13552366146A1AAE1352237D14681AB310FA237414501AA40866236B13E91AA701DE236D12961AAF00EA237011711AAF011F236D11961AB002382374129A1AA90412236413581AA9063F236B13BB1AA60882236214011AB10A91236D14271AAA06DD236512541AA70F10237114571AAF0FC4236B145A1AB8106C236D145E1AA411062366145C1AAB11882366145E1AA111E8235A145F1AA31233236A145D1AA31273236B145D1AA612A6236B145D1AA512C92369145E1AAE12EB237214633D443DF91B5090  ,:5:70A :17AE70AE36542331B4D1AAF135C2371146D1AB6134F237D14671AA91349236E14621AAB13552366146A1AAE1352237D14681AB310FA237414501AA40866236B13E91AA701DE236D12961AAF00EA237011711AAF011F236D11961AB002382374129A1AA90412236413581AA9063F236B13BB1AA60882236214011AB10A91236D14271AAA06DD236512541AA70F10237114571AAF0FC4236B145A1AB8106C236D145E1AA411062366145C1AAB11882366145E1AA111E8235A145F1AA31233236A145D1AA31273236B145D1AA612A6236B145D1AA512C92369145E1AAE12EB237214633D443DF91B5090  ,54,18.71,12.44,12.52,1.771,0.098,0,0,0
2024-11-21T19:00:00Z,53,41.38522,2.19572,11,259,287,0.56,289,0.56,1002.2,46,19.6,7.7,1.2,53,37-26087,18.5024,4E-05,-0.19,NAN,53, 11 19 2024 17 8 37 0 44 12.1 1521.3 171.2 161.1 -160.5 0.076 18.76 0 0    1    595 2983    2   2037 2549    3   1852 3030    4   1560 2686    5   1584 2494    6    336 2891    7   1637 2862    8   1055 3020    9   1245 2866   10    613 3556   11    558 2798   12   1065 2740   13   1485 2846   14    901 2820   15   1116 2960   16   1273 2955   17   1478 2758   18    939 2749   19   1508 3125   20   1112 2868   21   1465 2642   22    885 2915   23   1326 2902   24   1461 3085   25   1197 2493   26   1075 2581   27   2062 2526   28   1028 2981   29   2062 2769   30   1333 2440   31   1163 3057   32   1557 3050   33   1707 2908   34   1391 3400   35   1050 2828   36    955 2614   37   1442 2563   38   1398 2609   39   1144 3022   40    274 3546  ,11,19,2024,17,8,37,12.1,1521,171.2,161.1,-160.5,0.076,18.76,595 298,2037 254,1852 303,1560 268,1584 249,336 289,1637 286,1055 302,1245 286,613 355,558 279,1065 274,1485 284,901 282,1116 296,1273 295,1478 275,939 274,1508 312,1112 286,1465 264,885 291,1326 290,1461 308,1197 249,1075 258,2062 252,1028 298,2062 276,1333 244,1163 305,1557 305,53,:5:70A :17AE70AE36534231B371AB11348237814551AA31345237214521AAF1343236514491AA81340237714531AA513412367144D1AA810F9236C14371AA208E3236C13E41AA501CA237112811AAA00DC2370114E1AAF01202375119B1AA602282368127A1AB003D4237313311AB406092373139C1AAA0844237313E11AB50A6C236D140E1AA20C192359141F1AAC0D9F237514321AA50EF1236B14491AA30FE3236B14481AA610B3236A144C1AAD113D237214471AA811B2236A14451AAD12162370144B1AAA1258236614461AA5128C236A14411AB112BF236A144E1A9A12D9236B144B3D453DF91B37FA  ,:5:70A :17AE70AE36534231B371AB11348237814551AA31345237214521AAF1343236514491AA81340237714531AA513412367144D1AA810F9236C14371AA208E3236C13E41AA501CA237112811AAA00DC2370114E1AAF01202375119B1AA602282368127A1AB003D4237313311AB406092373139C1AAA0844237313E11AB50A6C236D140E1AA20C192359141F1AAC0D9F237514321AA50EF1236B14491AA30FE3236B14481AA610B3236A144C1AAD113D237214471AA811B2236A14451AAD12162370144B1AAA1258236614461AA5128C236A14411AB112BF236A144E1A9A12D9236B144B3D453DF91B37FA  ,53,18.69,12.45,12.52,1.479,0.092,0,0,0
2024-11-21T18:00:00Z,52,41.38524,2.195603,8,102,130,0.71,132,0.71,1002.6,45,19.7,7.7,1.2,52,37-26087,18.4761,3E-05,-0.187,NAN,52, 11 19 2024 16 8 37 0 44 12.1 1521.3 171.2 161.1 -160.5 0.080 18.76 0 0    1    751 2297    2    753 2691    3   1767 3135    4    916 2439    5   1219 2974    6   1824 3005    7   1059 2598    8   1549 2633    9    637 2534   10    782 2995   11   1151 2901   12   1262 2739   13   1053 2798   14   1544 2783   15   1830 2912   16    779 2783   17   1623 2382   18    673 3108   19   1762 3126   20    954 2540   21   1312 2956   22    652 2924   23   1594 3119   24    644 3054   25   1080 2595   26   1444 3369   27   1029 3062   28    861 2815   29    906 2788   30   1637 2727   31   1232 2922   32   1338 2877   33    744 2928   34   1336 2865   35   1302 2222   36   1509 3538   37    693 2988   38   1842 3049   39   1125 2699   40   1324 2875  ,11,19,2024,16,8,37,12.1,1521,171.2,161.1,-160.5,0.08,18.76,751 229,753 269,1767 313,916 243,1219 297,1824 300,1059 259,1549 263,637 253,782 299,1151 290,1262 273,1053 279,1544 278,1830 291,779 278,1623 238,673 310,1762 312,954 254,1312 295,652 292,1594 311,644 305,1080 259,1444 336,1029 306,861 281,906 278,1637 272,1232 292,1338 287,52,:5:70A :17AE70AE36526131B331AA8133A236B14401AAA133B237814461AAC13332373143F1AA51338236E143E1AA6133C237014431AB3108A236D142A1AA60834236813C61AA30196236B12631AA300DE236B11591AA70142236611CE1AA60259236812971AA104032368133B1AA60632236A13A31AA40876236313DD1AA60A4E236E13F91AA40C4A236514191AA00DC5236714291AAA0EF7236A14331AA50FE3236A14311A9F109B2362143D1AAA11312366143A1AAC119F236D14391AA811FD236E142D1AB41243237314341AA11275235A142C1AB112A9237214361AA812CC236314353D443DF71B3026  ,:5:70A :17AE70AE36526131B331AA8133A236B14401AAA133B237814461AAC13332373143F1AA51338236E143E1AA6133C237014431AB3108A236D142A1AA60834236813C61AA30196236B12631AA300DE236B11591AA70142236611CE1AA60259236812971AA104032368133B1AA60632236A13A31AA40876236313DD1AA60A4E236E13F91AA40C4A236514191AA00DC5236714291AAA0EF7236A14331AA50FE3236A14311A9F109B2362143D1AAA11312366143A1AAC119F236D14391AA811FD236E142D1AB41243237314341AA11275235A142C1AB112A9237214361AA812CC236314353D443DF71B3026  ,52,18.65,12.44,12.52,1.594,0.099,0,0,0
2024-11-21T17:00:00Z,51,41.38534,2.195655,17,137,165,0.64,167,0.64,1002.7,47,19.7,8,1.2,51,37-26087,18.5003,3E-05,-0.187,NAN,51, 11 19 2024 15 8 37 0 44 12.1 1521.4 170.2 161.0 -160.4 0.081 18.80 0 0    1    926 2670    2    882 3149    3    890 2956    4   1810 2853    5   1491 3103    6   1039 2894    7   1731 2758    8   1246 2885    9   1243 3078   10   1128 2606   11   1038 2992   12    663 2396   13   1043 2501   14   1344 2841   15   1591 2704   16   1292 3317   17   1628 3250   18   1120 3003   19   1303 2784   20   1833 2756   21   1267 3396   22   1235 2876   23   1537 2799   24   1219 2928   25   1394 2718   26    808 2977   27   1695 2703   28   1474 2584   29    921 3466   30    781 2813   31   1153 2884   32   1109 2996   33   1375 2932   34   1322 2308   35    808 2463   36    446 2990   37   1171 2569   38   1747 2834   39   1051 2848   40   1138 2931  ,11,19,2024,15,8,37,12.1,1521,170.2,161,-160.4,0.081,18.8,926 267,882 314,890 295,1810 285,1491 310,1039 289,1731 275,1246 288,1243 307,1128 260,1038 299,663 239,1043 250,1344 284,1591 270,1292 331,1628 325,1120 300,1303 278,1833 275,1267 339,1235 287,1537 279,1219 292,1394 271,808 297,1695 270,1474 258,921 346,781 281,1153 288,1109 299,51,:5:70A :17AE70AE36518041B2E1AA713262376142E1AA3131F236914231AA11323236814291AA41320236814241A9D132C236814311A9F0F19236113FA1A9F076E237113AC1AA001712363123D1AAD00F82378118B1A930146235E11E71AA30271236612A41AA7045F236813401AA706A8236813A21AAD08E9236A13DB1AA20AC9236A13F71AA10C772372140C1AA30DC7236014141A9B0EE3236114231AB00FBE2371142A1AA0106D235F14221AA21103236814241AA7116B236514241AA911CC235C141D1AA212182361141A1AA2125D236614201AA512812364141D1A9F12A6236414223D473DFA1B31AF  ,:5:70A :17AE70AE36518041B2E1AA713262376142E1AA3131F236914231AA11323236814291AA41320236814241A9D132C236814311A9F0F19236113FA1A9F076E237113AC1AA001712363123D1AAD00F82378118B1A930146235E11E71AA30271236612A41AA7045F236813401AA706A8236813A21AAD08E9236A13DB1AA20AC9236A13F71AA10C772372140C1AA30DC7236014141A9B0EE3236114231AB00FBE2371142A1AA0106D235F14221AA21103236814241AA7116B236514241AA911CC235C141D1AA212182361141A1AA2125D236614201AA512812364141D1A9F12A6236414223D473DFA1B31AF  ,51,18.64,12.44,12.52,1.828,0.09,0,0,0
2024-11-21T16:00:00Z,50,41.3852,2.195716,38,289,318,0.41,320,0.41,1003.1,47,19.8,8.2,1.2,50,37-26087,18.4306,3E-05,-0.182,NAN,50, 11 19 2024 14 8 37 0 44 12.1 1521.7 170.2 161.0 -160.4 0.085 18.88 0 0    1   1126 2985    2    480 3006    3   1673 2902    4    809 2254    5   2272 2785    6   1079 3075    7    598 3075    8   1637 2690    9   1208 3141   10   1645 2960   11   1301 2698   12   1246 2462   13    596 2807   14    408 2899   15   1178 2696   16    936 2712   17    850 2415   18   1874 2801   19    854 2897   20   1461 3065   21   1296 2692   22   1234 3021   23   1551 2824   24    876 2772   25    666 2629   26   1822 2764   27   1617 2869   28    930 3082   29   1106 2946   30   1079 2568   31   1154 3055   32    858 2770   33    948 2886   34   1136 3030   35   1295 2808   36   1822 3104   37   1211 3225   38    872 3288   39   1232 3285   40    912 2726  ,11,19,2024,14,8,37,12.1,1522,170.2,161,-160.4,0.085,18.88,1126 298,480 300,1673 290,809 225,2272 278,1079 307,598 307,1637 269,1208 314,1645 296,1301 269,1246 246,596 280,408 289,1178 269,936 271,850 241,1874 280,854 289,1461 306,1296 269,1234 302,1551 282,876 277,666 262,1822 276,1617 286,930 308,1106 294,1079 256,1154 305,858 277,50,:5:70A :17AE70AE36509F31B2A1AAD1315237A141B1AAA1311236C14181A99130C235E14141AA71315237014161A99130F236514161A9B0F29236413E91AA50759236F13911A9D0171236512341A9900F5236911851AAE01672371120E1AA9028A236B12AC1AA20443236C132A1AA306672361138A1A9D0897236113BD1A9D0A97236613E21A9D0C3D236213F71AA30D99236B14051AA50EAD2368140C1A9B0F8A236614131AA01048236A14161A9E10D7236214121A9E114C2365140F1AAE11B02374140E1A9D11FD236314121AAD1237236B140B1A98126A2363140D1AB41292237014123D473DFB1B281D  ,:5:70A :17AE70AE36509F31B2A1AAD1315237A141B1AAA1311236C14181A99130C235E14141AA71315237014161A99130F236514161A9B0F29236413E91AA50759236F13911A9D0171236512341A9900F5236911851AAE01672371120E1AA9028A236B12AC1AA20443236C132A1AA306672361138A1A9D0897236113BD1A9D0A97236613E21A9D0C3D236213F71AA30D99236B14051AA50EAD2368140C1A9B0F8A236614131AA01048236A14161A9E10D7236214121A9E114C2365140F1AAE11B02374140E1A9D11FD236314121AAD1237236B140B1A98126A2363140D1AB41292237014123D473DFB1B281D  ,50,18.56,12.44,12.52,12.53,0.09,0,0,0
2024-11-21T15:00:00Z,49,100,1000,7999,179,208,1000,NAN,0.25,1003.6,48,19.7,8.6,1.2,49,37-26087,18.3604,3E-05,-0.178,NAN,49, 11 19 2024 13 8 37 0 44 12.1 1521.7 170.8 160.9 -160.5 0.091 18.89 0 0    1    113 2376    2    861 3046    3   1692 2994    4   1096 3012    5   1972 2688    6    677 3463    7    993 2872    8   1798 2522    9   1166 2652   10   1058 2743   11   1127 2910   12    588 3024   13   1012 2988   14    361 2856   15   1310 3126   16    830 2955   17   1135 2990   18   1728 3046   19   1029 3040   20    997 2989   21   1249 2650   22   1550 2859   23   2062 2822   24    918 2965   25   1305 2478   26   1441 2441   27   1061 2934   28    617 2401   29    509 2905   30   1695 2945   31   1110 2798   32   1535 2601   33   1266 3037   34   1273 3030   35    843 2734   36   1090 3071   37   1207 3196   38    748 2692   39    721 2457   40   1426 2458  ,11,19,2024,13,8,37,12.1,1522,170.8,160.9,-160.5,0.091,18.89,113 237,861 304,1692 299,1096 301,1972 268,677 346,993 287,1798 252,1166 265,1058 274,1127 291,588 302,1012 298,361 285,1310 312,830 295,1135 299,1728 304,1029 304,997 298,1249 265,1550 285,2062 282,918 296,1305 247,1441 244,1061 293,617 240,509 290,1695 294,1110 279,1535 260,49,:5:70A :17AE70AE364FBE31B211AA313062375140A1AA112FF236D13FD1A9912FF236B14021A9F1304236713FB1A9D12F9236813FB1AA310A9236A13DE1A9506D92364134F1A9B01AF235F12171AAB00F6236D11491A910154236611A61A980257235A12571A9703EF235C12F71AA205FE236213581A9A081E235B13921AA30A25235E13C31AA40BE5236513D91A940D5F236313E81A9C0E96236113EC1A9C0F86236413F91A9F1055236613FC1AA810EC236713F71AA51174236613FF1A9F11CC236113FF1A9D1211235E13F91AA2124B235F13F81AA3127B236613FA1A9A129D236413FA3D543E091B2264  ,:5:70A :17AE70AE364FBE31B211AA313062375140A1AA112FF236D13FD1A9912FF236B14021A9F1304236713FB1A9D12F9236813FB1AA310A9236A13DE1A9506D92364134F1A9B01AF235F12171AAB00F6236D11491A910154236611A61A980257235A12571A9703EF235C12F71AA205FE236213581A9A081E235B13921AA30A25235E13C31AA40BE5236513D91A940D5F236313E81A9C0E96236113EC1A9C0F86236413F91A9F1055236613FC1AA810EC236713F71AA51174236613FF1A9F11CC236113FF1A9D1211235E13F91AA2124B235F13F81AA3127B236613FA1A9A129D236413FA3D543E091B2264  ,49,18.36,12.46,12.53,12.54,0.097,0,0,0
2024-11-21T14:00:00Z,48,41.38521,2.195591,29,122,151,1.19,153,1.19,1003.9,48,19.3,8.2,1.2,48,37-26087,18.1758,3E-05,-0.175,NAN,48, 11 19 2024 12 8 37 0 44 12.1 1521.7 170.3 160.6 -160.5 0.094 18.90 0 0    1   1164 2514    2   1019 2984    3   1075 2591    4    855 3147    5   1488 3176    6   1139 3225    7    716 2717    8   1089 2801    9    884 2949   10   1032 3412   11   1025 2272   12   1357 2891   13   1749 3236   14   1472 2582   15   1332 3012   16    739 2694   17    347  286   18   1751 2438   19   1267 2951   20    965 3293   21    839 2525   22   1095 3117   23   1137 3115   24   1685 2631   25   1628 3225   26   1212 2504   27   1066 3161   28   1251 3222   29    459 3076   30   1930 2463   31   1491 2286   32   1119 3332   33   1321 2455   34   1721 3064   35   1013 2970   36   1767 2959   37   1155 2655   38   1189 2148   39   1590 2615   40   1667 2591  ,11,19,2024,12,8,37,12.1,1522,170.3,160.6,-160.5,0.094,18.9,1164 251,1019 298,1075 259,855 314,1488 317,1139 322,716 271,1089 280,884 294,1032 341,1025 227,1357 289,1749 323,1472 258,1332 301,739 269,347 28,1751 243,1267 295,965 329,839 252,1095 311,1137 311,1685 263,1628 322,1212 250,1066 316,1251 322,459 307,1930 246,1491 228,1119 333,48,:5:70A :17AE70AE364EDD31B171AB01306237C14011AA012F1236E13EF1A9212F2236013EE1AA712EF236E13EF1AA312ED237413EA1A9D10E0236F13E01A9105912364132F1A9B0178235C11E61A9C00F2236111401AA1015E236811A01A9A0259236812431A9D03E3235D12CB1A8F05F92355133E1A950820236713811AA20A23236313B01A990BE9235F13CD1A8E0D54235C13D51AA00E89236613E41A9F0F96236913EF1A951049235C13E21A9C10ED236513E71AA11168236C13E81A9911BF236413E61A98120B236513ED1A94123F235F13DE1A981267236713E01A96128F235713E23D5B3E121B1A0D  ,:5:70A :17AE70AE364EDD31B171AB01306237C14011AA012F1236E13EF1A9212F2236013EE1AA712EF236E13EF1AA312ED237413EA1A9D10E0236F13E01A9105912364132F1A9B0178235C11E61A9C00F2236111401AA1015E236811A01A9A0259236812431A9D03E3235D12CB1A8F05F92355133E1A950820236713811AA20A23236313B01A990BE9235F13CD1A8E0D54235C13D51AA00E89236613E41A9F0F96236913EF1A951049235C13E21A9C10ED236513E71AA11168236C13E81A9911BF236413E61A98120B236513ED1A94123F235F13DE1A981267236713E01A96128F235713E23D5B3E121B1A0D  ,48,18.12,12.46,12.54,12.55,0.094,0,0,0
2024-11-21T13:00:00Z,47,41.38525,2.195693,21,277,306,0.64,308,0.64,1004.9,52,18.6,8.8,1.2,47,37-26087,18.0693,3E-05,-0.165,NAN,47, 11 19 2024 11 8 37 0 44 12.1 1522.5 169.3 161.2 -160.5 0.106 19.18 0 0    1    818 3179    2   1684 2552    3   1249 2901    4   1844 3260    5   1354 2770    6    902 2853    7   1224 2748    8   1422 2782    9   1009 3184   10   1392 3128   11    783 3195   12   1245 2991   13    758 3074   14   1166 3167   15    630 3075   16    723 2753   17    538 3179   18   2237 3004   19   1337 2567   20    584 3591   21   1017 3116   22    673 3190   23    694 3243   24   1000 2728   25   1383 2888   26   1041 3009   27   1159 3099   28    121 1180   29   1474 3086   30   1915 2661   31   1087 2849   32    897 2909   33    862 3079   34   1437 2657   35    431 3294   36   1748 3307   37   1189 2870   38   1657 3331   39   1364 2203   40   1008 2468  ,11,19,2024,11,8,37,12.1,1523,169.3,161.2,-160.5,0.106,19.18,818 317,1684 255,1249 290,1844 326,1354 277,902 285,1224 274,1422 278,1009 318,1392 312,783 319,1245 299,758 307,1166 316,630 307,723 275,538 317,2237 300,1337 256,584 359,1017 311,673 319,694 324,1000 272,1383 288,1041 300,1159 309,121 118,1474 308,1915 266,1087 284,897 290,47,:5:70A :17AE70AE364DFC31AF01A9D12F7237213EC1A8C12EE236513E71A9A12EC236A13E21A8712F0235F13E61A8912F2235513EB1A810F30235513B01A8D06CD235E13671A960175236C12281A8F00E2236611591A910135236011891A830233236512191A8903A6234C12A81A8B05872359131D1A8F0795236413691A9209AE235C13991A950BAF235E13B81A8C0D4D236113D01A990E86236613D51A8F0F83236413DA1A97104D236213D71A8B10E0235513CC1A97115D236713D81A8911BC235F13D71A9C1200236513D61AA11235237213D41A881261235C13D71A951281236013D73D5B3E121AEEA1  ,:5:70A :17AE70AE364DFC31AF01A9D12F7237213EC1A8C12EE236513E71A9A12EC236A13E21A8712F0235F13E61A8912F2235513EB1A810F30235513B01A8D06CD235E13671A960175236C12281A8F00E2236611591A910135236011891A830233236512191A8903A6234C12A81A8B05872359131D1A8F0795236413691A9209AE235C13991A950BAF235E13B81A8C0D4D236113D01A990E86236613D51A8F0F83236413DA1A97104D236213D71A8B10E0235513CC1A97115D236713D81A8911BC235F13D71A9C1200236513D61AA11235237213D41A881261235C13D71A951281236013D73D5B3E121AEEA1  ,47,17.89,12.46,12.53,12.55,0.09,0,0,0
